x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,label,hand
165.12351989746094,211.9890594482422,253.71347427368164,279.94279861450195,283.7567710876465,235.62088012695312,240.9203338623047,228.70153427124023,221.26394271850586,212.01120376586914,217.91601181030273,205.7402801513672,201.73255920410156,188.95244598388672,194.37774658203125,185.17999649047852,182.62388229370117,164.85546112060547,171.12401962280273,167.32473373413086,167.0893096923828,283.0253791809082,278.1704521179199,262.3029327392578,234.70670700073242,207.14282512664795,220.5655860900879,192.6499843597412,215.8317232131958,237.65250205993652,212.5671100616455,182.90093421936035,214.27598476409912,237.54339694976807,207.9506778717041,180.34890174865723,211.82508945465088,234.68951225280762,206.8905258178711,186.34620666503906,208.89265537261963,226.85322761535645,A,Left
165.7533836364746,212.53755569458008,254.0416145324707,280.70898056030273,283.57112884521484,234.0372085571289,238.3022117614746,227.29984283447266,221.11818313598633,210.32087326049805,215.73516845703125,205.29176712036133,201.6553497314453,187.4102783203125,192.41779327392578,184.81966018676758,182.79169082641602,163.84641647338867,169.31419372558594,167.01566696166992,167.46448516845703,276.4053726196289,269.9219512939453,254.44982528686523,226.90685749053955,199.46866035461426,213.05059432983398,184.99867916107178,209.36292171478271,231.00943565368652,206.21240615844727,176.90706253051758,208.42649459838867,230.70087432861328,202.93803691864014,174.6760654449463,206.06642246246338,228.45515727996826,203.2247543334961,182.02305793762207,204.40080642700195,222.3574733734131,A,Left
169.41822052001953,216.11810684204102,257.3332977294922,285.173397064209,288.27056884765625,237.97700881958008,242.67789840698242,231.75987243652344,225.77484130859375,214.20948028564453,219.55610275268555,209.36309814453125,205.86883544921875,191.2987518310547,196.96762084960938,189.2043113708496,186.76240921020508,167.85381317138672,173.90233993530273,170.9817123413086,170.54821014404297,274.20653343200684,268.46611976623535,252.84899711608887,226.7460823059082,200.6024408340454,211.1535930633545,182.61518955230713,206.946759223938,228.72652530670166,204.36424255371094,175.3354024887085,206.72123908996582,228.75007152557373,200.67950248718262,172.08815574645996,203.5786485671997,225.9094762802124,200.47202110290527,179.33687210083008,201.95371627807617,219.98435497283936,A,Left
166.75914764404297,212.71806716918945,253.8547706604004,281.46018981933594,286.061954498291,235.13935089111328,239.9431037902832,228.11594009399414,221.83269500732422,211.4667510986328,217.1959114074707,206.59002304077148,203.16286087036133,188.6234474182129,194.47397232055664,186.5166473388672,184.2068099975586,165.2515983581543,171.56911849975586,168.51512908935547,168.20798873901367,273.1245517730713,267.18114852905273,251.43573760986328,225.3026247024536,198.86850357055664,210.15345096588135,182.2132444381714,205.98904609680176,227.2566032409668,203.13639163970947,174.34714794158936,205.66866874694824,227.7081298828125,199.3879222869873,171.4152717590332,202.9189968109131,225.1350975036621,199.25195217132568,178.61815452575684,201.3301420211792,219.18761730194092,A,Left
165.9558868408203,212.1053695678711,253.28619003295898,280.45801162719727,284.51744079589844,234.48930740356445,238.9382553100586,227.4196434020996,221.20088577270508,210.80490112304688,216.48609161376953,205.9134292602539,202.46517181396484,187.83592224121094,193.72848510742188,185.93782424926758,183.70647430419922,164.21430587768555,170.45927047729492,167.82873153686523,167.7031707763672,274.03541564941406,268.2832431793213,252.64357566833496,226.2751579284668,199.77051258087158,211.43531799316406,183.28508377075195,207.20097541809082,228.5314178466797,204.362154006958,175.62034606933594,207.09583282470703,229.1195583343506,200.7350778579712,172.7946138381958,204.26198959350586,226.4743137359619,200.80731868743896,180.18136024475098,202.61123657226562,220.41574001312256,A,Left
164.92538452148438,211.26312255859375,252.43474960327148,280.2322769165039,284.0474319458008,233.82808685302734,238.4103012084961,226.38677597045898,220.1862335205078,209.99059677124023,215.54010391235352,204.3552017211914,200.76898574829102,186.91268920898438,192.7513313293457,184.11270141601562,181.83124542236328,163.64051818847656,169.4609832763672,165.9856414794922,165.79483032226562,271.5354537963867,265.9433841705322,250.46507835388184,224.20555114746094,197.26129531860352,209.91432666778564,181.8182373046875,205.54843425750732,227.2236442565918,202.8902006149292,174.08615112304688,205.0967502593994,227.31441020965576,199.0088653564453,170.81265449523926,201.8717908859253,224.36824321746826,198.6022424697876,177.864990234375,200.4019546508789,218.60788822174072,A,Left
165.12725830078125,211.09830856323242,252.6302146911621,280.3730583190918,284.4496154785156,234.13259506225586,238.36437225341797,226.5108299255371,220.62236785888672,210.24572372436523,215.7524299621582,204.74586486816406,201.40701293945312,187.14365005493164,192.7444839477539,184.46231842041016,182.3737335205078,163.6948585510254,169.37908172607422,166.24338150024414,166.2044334411621,272.6298236846924,266.86177253723145,250.92063903808594,224.5957088470459,197.5091314315796,210.26611804962158,182.22108364105225,206.11061096191406,227.51392364501953,203.14458847045898,174.43373680114746,205.76165199279785,227.7048397064209,199.39948081970215,171.14496231079102,202.52798080444336,224.8064088821411,199.2604923248291,178.65095615386963,201.1278533935547,218.95684719085693,A,Left
167.1907615661621,213.04821014404297,254.21716690063477,281.5538024902344,285.88178634643555,235.27034759521484,239.6497917175293,228.2706069946289,222.28633880615234,211.41433715820312,216.93986892700195,206.3323211669922,202.89302825927734,188.30524444580078,193.87445449829102,186.11923217773438,183.8986587524414,164.59686279296875,170.66095352172852,168.05837631225586,167.83382415771484,273.72156143188477,267.17737197875977,250.7823944091797,224.4997787475586,197.7130651473999,210.34515380859375,182.5757360458374,206.14816188812256,227.6940107345581,203.3228874206543,174.59833145141602,205.7836675643921,227.88122177124023,199.7878074645996,171.6005516052246,202.95265674591064,225.14525413513184,199.82059478759766,178.9866542816162,201.36202812194824,219.12440299987793,A,Left
167.52622604370117,214.23446655273438,255.40716171264648,282.84826278686523,286.55147552490234,235.88983535766602,240.6903839111328,229.42743301391602,222.97565460205078,211.96243286132812,217.75711059570312,207.3438835144043,203.35155487060547,188.68581771850586,194.82172012329102,187.1079444885254,184.36933517456055,164.89612579345703,171.61027908325195,168.9068603515625,168.20369720458984,272.76068687438965,266.4035224914551,250.04055976867676,223.58377933502197,196.86530113220215,209.05048370361328,181.19839668273926,205.508394241333,227.12077617645264,202.16042518615723,173.87429237365723,205.51799297332764,227.47923374176025,198.79016876220703,170.93095779418945,202.53589153289795,224.63647842407227,199.09943103790283,178.30196857452393,201.17936611175537,218.98870468139648,A,Left
167.43812561035156,213.365478515625,254.18949127197266,281.7060089111328,285.76847076416016,235.01161575317383,240.21589279174805,228.44486236572266,221.95293426513672,211.29884719848633,217.43223190307617,206.6966438293457,203.07989120483398,188.16238403320312,194.2852020263672,186.51111602783203,184.27898406982422,164.51147079467773,170.81666946411133,168.14294815063477,167.9043960571289,273.4512233734131,267.2527885437012,250.8153247833252,224.59203243255615,197.6964569091797,210.06451606750488,182.51572608947754,205.99079132080078,227.51280784606934,203.2245111465454,174.62642669677734,205.78465461730957,228.19719314575195,199.7867774963379,171.80766105651855,203.02764415740967,225.40746688842773,199.95477676391602,179.25437450408936,201.5105152130127,219.3053913116455,A,Left
